stock,buy_price,buy_quantity,buy_total,current_stock_price,unrealized_profit
MSFT,366.1729038090305,47.026691,17219.9,375.28,5380.0
NVDA,388.78622607535647,30.008702,11666.970000000001,495.22,3195.0
AMZN,122.57666666666667,30.0,3677.3,153.38,925.0
ORCL,100.7,100.0,10070.0,106.25,555.0
WMT,139.57808120282544,30.390445,4241.84,157.57,547.0
FDX,249.5,20.0,4990.0,253.58,82.0
AAPL,186.38,10.0,1863.8,193.58,73.0
ADBE,588.7866666666666,3.0,1766.36,595.52,21.0
